raw/gen/time/iterations,raw/gen/time/fps,raw/gen/time/total_timesteps,raw/gen/time/time_elapsed,raw/gen/train/explained_variance,raw/gen/train/policy_gradient_loss,raw/gen/train/clip_range,raw/gen/train/clip_fraction,raw/gen/train/entropy_loss,raw/gen/train/approx_kl,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/loss,raw/gen/train/n_updates,raw/gen/train/learning_rate,raw/gen/train/value_loss
3,658,200704,9,1.7881393432617188e-07,-3.679953515529632e-05,0.1,0.0,-1.606648176908493,4.267611e-06,-111.23859575390816,115.6034927368164,485,0.00010300000000000001,472.5860290527344
4,603,202752,13,5.960464477539063e-08,-4.205573350191116e-05,0.1,0.0,-1.6067233681678772,1.9354047e-06,-113.05383254528046,112.54997253417969,490,0.00010200000000000001,462.7723846435547
5,576,204800,17,0.0,-7.116309134289623e-05,0.1,0.0,-1.6068558871746064,3.6875717e-06,-112.35358898878097,113.1957778930664,495,0.000101,461.49147644042966
1,2658,206848,0,1.7881393432617188e-07,-2.9442482627928257e-05,0.1,0.0,-1.6068752586841584,1.7328421e-06,-112.19044993042945,115.44682312011719,500,0.0001,467.5024642944336
2,829,208896,4,1.7881393432617188e-07,-0.000142269441857934,0.1,0.0,-1.6067389845848083,1.3689103e-05,-112.88729110717773,122.80145263671875,505,0.00010380952380952381,490.71984710693357
3,673,210944,9,1.7881393432617188e-07,-3.757940139621496e-05,0.1,0.0,-1.6065973699092866,2.9462972e-06,-113.44874287128448,122.35257720947266,510,0.00010285714285714286,488.3024871826172
4,616,212992,13,4.172325134277344e-07,-4.583575064316392e-05,0.1,0.0,-1.6067120134830475,1.1771917e-06,-113.49472377657891,116.14147186279297,515,0.00010190476190476192,478.18356170654295
5,581,215040,17,1.7881393432617188e-07,-9.961200412362814e-05,0.1,0.0,-1.60665442943573,8.342176e-06,-113.36471776127816,123.02237701416016,520,0.00010095238095238096,490.47740936279297
1,2545,217088,0,5.960464477539063e-08,-3.16155725158751e-05,0.1,0.0,-1.6065681040287019,5.4172124e-06,-112.6641334104538,114.22015380859375,525,0.0001,459.5551422119141
2,830,219136,4,2.384185791015625e-07,-1.456716563552618e-05,0.1,0.0,-1.6064845621585846,9.278592e-07,-111.47117453575135,112.36689758300781,530,0.00010363636363636364,445.61473388671874
3,673,221184,9,5.960464477539063e-08,-7.274346426129341e-05,0.1,0.0,-1.6064635634422302,6.060407e-06,-111.70821148991585,121.97836303710938,535,0.00010272727272727273,490.10703430175784
4,614,223232,13,5.960464477539063e-08,-9.440056746825575e-05,0.1,0.0,-1.6062546372413635,1.5439233e-05,-110.77770332098007,107.63796997070312,540,0.00010181818181818183,443.1522842407227
5,584,225280,17,0.0,-0.00019266518065705896,0.1,0.0,-1.6057982444763184,2.7560134e-05,-111.24110582351685,112.9810562133789,545,0.0001009090909090909,457.13731536865237
1,2609,227328,0,1.7881393432617188e-07,-0.00021400696132332087,0.1,0.0,-1.6051813960075378,4.0088926e-05,-110.55990386962891,118.91120910644531,550,0.0001,470.2928726196289
2,795,229376,5,5.960464477539063e-08,-2.1784333512187002e-06,0.1,0.0,-1.6048159778118134,1.8011779e-06,-110.71559745907784,112.79177856445312,555,0.00010347826086956522,452.8295181274414
3,660,231424,9,-1.1920928955078125e-07,-7.9572934191674e-05,0.1,0.0,-1.605256015062332,1.1047232e-05,-108.31812605082989,100.6689682006836,560,0.00010260869565217392,406.06348419189453
4,605,233472,13,0.0,-0.00014334858860820532,0.1,0.0,-1.6051075279712677,1.3991492e-05,-107.86510950386524,111.6810531616211,565,0.00010173913043478261,450.4748229980469
5,580,235520,17,-1.1920928955078125e-07,-4.6416721306741235e-05,0.1,0.0,-1.6046899020671845,8.473493e-06,-107.68681641459465,113.79181671142578,570,0.00010086956521739131,453.54315795898435
1,2660,237568,0,0.0,-0.00022159607615321875,0.1,0.0,-1.6048858225345612,1.442575e-05,-108.7416569930315,109.02208709716797,575,0.0001,438.2345886230469
2,811,239616,5,0.0,-8.59803520143032e-05,0.1,0.0,-1.6052735328674317,1.0959164e-05,-107.1456712347269,98.05706787109375,580,0.00010333333333333334,398.4737030029297
3,653,241664,9,1.7881393432617188e-07,-0.0001228312263265252,0.1,0.0,-1.6053870856761931,1.3381912e-05,-103.00102931320667,83.46624755859375,585,0.00010250000000000001,348.0505844116211
4,603,243712,13,5.960464477539063e-08,-7.00563658028841e-05,0.1,0.0,-1.6047498404979705,8.450763e-06,-100.81984499692916,94.33817291259766,590,0.00010166666666666668,391.96817474365236
5,574,245760,17,5.960464477539063e-08,-5.507483147084713e-05,0.1,0.0,-1.60448197722435,3.0971423e-06,-100.43058065772057,97.6990966796875,595,0.00010083333333333334,385.0455017089844
1,2663,247808,0,1.7881393432617188e-07,-9.519363520666957e-05,0.1,0.0,-1.6042469561100006,9.915384e-06,-101.66863023996353,94.64041137695312,600,0.0001,376.9071243286133
2,828,249856,4,5.960464477539063e-08,-9.965947829186917e-05,0.1,0.0,-1.6039032697677613,7.980765e-06,-101.91609817922115,100.20587158203125,605,0.0001032,397.2256134033203
3,673,251904,9,-1.1920928955078125e-07,-8.704601787030697e-05,0.1,0.0,-1.6040280759334564,7.738156e-06,-102.07673496961594,96.49681091308594,610,0.00010240000000000001,388.7363967895508
4,620,253952,13,0.0,-0.0002527351607568562,0.1,0.0,-1.6039774119853973,1.9198429e-05,-102.77637676596642,97.758544921875,615,0.0001016,390.46559143066406
5,585,256000,17,1.7881393432617188e-07,-0.00019412566325627267,0.1,0.0,-1.6035110712051392,2.3636268e-05,-101.62795982182026,90.63904571533203,620,0.00010080000000000001,370.8654098510742
1,2649,258048,0,-1.1920928955078125e-07,-9.227897971868515e-05,0.1,0.0,-1.6029452681541443,1.2985227e-05,-101.46215390682221,91.3682632446289,625,0.0001,377.5173568725586
2,837,260096,4,1.1920928955078125e-07,-0.00021610851399600506,0.1,0.0,-1.6024046301841737,2.0190026e-05,-100.46579779148102,91.528076171875,630,0.00010307692307692309,362.1787338256836
